Global cluster,OCHA_Code,Sub-domain,Indicator,Indicator_Local,Unit of Measurement,Denominator,Disaggregation,Indicator used for response monitoring?,Key indicator,Numerator,Sectoral objective,Standards,Strategic objective,Standards,Indicator_Types,Unit_Description,
Water Sanitation Hygiene,W1-4,W1.1 Hygiene items,Proportion of households with appropriate water treatment supplies and equipment,,Household,Total nb of households in the sample,N/A,,,Nb of households possessing appropriate water-treatment supplies,,SPHERE,,Follow-up of trends. Target: 100%,"Baseline, Output",Percentage,
Water Sanitation Hygiene,W1-5,W1.1 Hygiene items,"Accessibility of appropriate sanitary protection materials for menstruation, and underwear, for women and girls",,Individual,N/A,N/A,No,,N/A,,SPHERE,,N/A,"Baseline, Output",Yes/No,
Water Sanitation Hygiene,W1-6,W1.1 Hygiene items,Proportion of households possessing one or more effective insecticide-treated mosquito nets,,Household,Total nb of households in the sample,N/A,,,Nb of household possessing one or more effective insecticide-treated mosquito nets,,SPHERE,,Follow-up of trends. Target: 100%,"Baseline, Output",Percentage,
Water Sanitation Hygiene,W1-7,W1.2 Hygiene Practices,Proportion of households where only safe water is used for drinking and cooking,,Household,Total nb of households in the sample,N/A,Yes,,Nb of households where all three criteria of safe water are met,,SPHERE,,Follow-up of trends. Target: 100%,"Baseline, Outcome",Percentage,
Water Sanitation Hygiene,W1-8,W1.2 Hygiene Practices,"Proportion of men, women, boys and girls who last defecated in a toilet (or whose faeces was last disposed of in a safe manner)",,Community,Total Nb of individuals in the household sample,disaggregated by sex and age,Yes,,Nb of individuals who last defecated in a hygienic toilet,,SPHERE,,Follow-up of trends. Target: 100%,"Baseline, Outcome",Percentage,
Water Sanitation Hygiene,W1-9,W1.2 Hygiene Practices,"Proportion of men, women, boys and girls washing hands with water and soap or substitute after contact with faeces and before contact with food and water",,Community,Total nb of people surveyed in the sample,disaggregated by sex and age,Yes,,Nb of people reporting having washed their hands with soap or substitute after contact with faeces and before contact with food and water,,SPHERE,,Follow-up of trends. Target: 100%,"Baseline, Outcome",Percentage,
Water Sanitation Hygiene,W2-1,W2.1 Access and Water Quantity,"Quantity of water used per person per day for drinking, cooking, hygiene and laundry",,Community,n/a,N/A,No,,n/a,,SPHERE,,Context specific,"Baseline, Output",Litres per person,
Water Sanitation Hygiene,W2-2,W2.1 Access and Water Quantity,Likelihood of a critical fall in the quantity of water available per day within the next month,,Community,n/a,N/A,No,,n/a,,,,n/a,Baseline,Very likely / Somewhat Likely / Unlikely,
Water Sanitation Hygiene,W2-3,W2.1 Access and Water Quantity,"Average time required (minutes) for one water collection journey, including travel in each direction and queuing",,Household,n/a,Sex and age disaggregation possible,No,,n/a,,SPHERE,,Context specific,"Baseline, Outcome",Minutes,
Water Sanitation Hygiene,W2-4,W2.2 Water Quality,Proportion of households with access to a source of safe drinking-water,,Household,Total nb of households in the sample,N/A,No,,Nb of households with access to a source of safe drinking-water,,,,"In many contexts people will not have access to safe drinking water for part or all of the emergency period, for example when they rely on traditional unprotected water sources or when central systems for water treatment and distribution fail. In these cases, household (or point-of-use) treatment is important for ensuring that water is clean at the point of consumption. Surveyors should check to ensure that all the necessary supplies and equipment are present. For example, if bucket disinfection is used, an additional water container, usually a bucket with a lid, will be required for the process, in addition to containers for collection and storage. Model questions for survey: Do you treat your water in any way to make it safer to drink? IF YES, what do you usually do to the water to make it safer to drink? Did you treat the water that is being used in your household today? IF NO, why not? May I see the product or device please?","Baseline, Outcome",Percentage,
Water Sanitation Hygiene,W2-5,W2.3 Water Facilities,Access to appropriate bathing facilities,,Community,N/A,"Disagregation by sex of the # of communal bathing facilities availbale, respecting a ratio of 6 doors for women and 4 doors for men",No,,N/A,,SPHERE,,Context specific,"Baseline, Outcome",None / limited / sufficient,
Water Sanitation Hygiene,W2-6,W2.3 Water Facilities,Access to appropraite laundry facilities,,Community,N/A,N/A,No,,N/A,,SPHERE,,Context specific,"Baseline, Outcome",None / limited / sufficient,
Water Sanitation Hygiene,W3-1,W3.1 Environment,Presence of human faeces on the ground on and around the site,,Community,N/A,N/A,Yes,,N/A,,SPHERE,,No Presence,"Baseline, Outcome",Yes/No,
Water Sanitation Hygiene,W3-2,W3.2 Toilet Facilities,Average number of users per functioning toilet,,Community,Estimated or counted number of functioning toilets,Possible disaggregation by sex and age,Yes,,Estimated population at the site,,SPHERE,,Context specific,"Baseline, Output",Person per Toilet,
Water Sanitation Hygiene,W3-3,W3.2 Toilet Facilities,Proportion of households with access to a functioning toilet,,Household and Facilities,Total number of households in the same location,Possible disaggregation by sex and age,Yes,,Nb of households reporting access to a functioning toilet,,SPHERE,,"In many contexts people will not have access to safe drinking water for part or all of the emergency period, for example when they rely on traditional unprotected water sources or when central systems for water treatment and distribution fail. In these cases, household (or point-of-use) treatment is important for ensuring that water is clean at the point of consumption. Surveyors should check to ensure that all the necessary supplies and equipment are present. For example, if bucket disinfection is used, an additional water container, usually a bucket with a lid, will be required for the process, in addition to containers for collection and storage. Model questions for survey: Do you treat your water in any way to make it safer to drink? IF YES, what do you usually do to the water to make it safer to drink? Did you treat the water that is being used in your household today? IF NO, why not? May I see the product or device please?","Baseline, Outcome",Percentage,
Water Sanitation Hygiene,W3-4,W3.2 Toilet Facilities,Proportion of toilets with functioning and convenient handwashing facilities,,Community,Total nb of toilets surveyed,N/A,No,,Nb of toilets with functioning and convenient handwashing facilities (or observed during toilet survey or reported during household survey),,SPHERE,,"In many contexts people will not have access to safe drinking water for part or all of the emergency period, for example when they rely on traditional unprotected water sources or when central systems for water treatment and distribution fail. In these cases, household (or point-of-use) treatment is important for ensuring that water is clean at the point of consumption. Surveyors should check to ensure that all the necessary supplies and equipment are present. For example, if bucket disinfection is used, an additional water container, usually a bucket with a lid, will be required for the process, in addition to containers for collection and storage. Model questions for survey: Do you treat your water in any way to make it safer to drink? IF YES, what do you usually do to the water to make it safer to drink? Did you treat the water that is being used in your household today? IF NO, why not? May I see the product or device please?",Output,Percentage,
Water Sanitation Hygiene,W3-5,W3.2 Toilet Facilities,Proportion of toilets that are clean,,Community,Total nb of toilets surveyed,N/A,No,,Nb of clean toilets,,SPHERE,,"In many contexts people will not have access to safe drinking water for part or all of the emergency period, for example when they rely on traditional unprotected water sources or when central systems for water treatment and distribution fail. In these cases, household (or point-of-use) treatment is important for ensuring that water is clean at the point of consumption. Surveyors should check to ensure that all the necessary supplies and equipment are present. For example, if bucket disinfection is used, an additional water container, usually a bucket with a lid, will be required for the process, in addition to containers for collection and storage. Model questions for survey: Do you treat your water in any way to make it safer to drink? IF YES, what do you usually do to the water to make it safer to drink? Did you treat the water that is being used in your household today? IF NO, why not? May I see the product or device please?",Output,Percentage,
